ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",4350.711665923174,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",220878,0.021962274619412747
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",4649.715905300022,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",170508,0.016953899984637803
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",1637,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2703547,0.2693208311932155
0,"White Alone",1,"Hispanic or Latino",2015,"2015",19313,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2642769,0.2632662734295586
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",2815,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",801739,0.07986730538807625
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",1787.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",29052,0.002894090166668194
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",922.9999999999999,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18726,0.0018654389529474255
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",2361,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",40614,0.0040458687191608856
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",4076.9999999999995,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1401289,0.13959303027537887
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",1246,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",17073,0.0017007710799781797
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",844,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",24657,0.002456270867394247
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",422,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2419,0.0002409749453796765
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",2091,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",27178,0.002707406806750247
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",21019,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1939495,0.19320781384421482
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",4627.049275726378,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",218933,0.021809577394298767
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",4524.225569089145,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",170897,0.017024346936978327
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",1600,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2711665,0.2718678374602963
0,"White Alone",1,"Hispanic or Latino",2014,"2014",18660,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2617668,0.2624438263388062
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",2642,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",802132,0.08042066117964514
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",1825.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",30121,0.0030198904112940152
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",1056,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18207,0.0018254090076169494
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",2498,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",36202,0.0036295631841461416
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",3502,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1377333,0.1380895295594044
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",1435,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",17016,0.0017060009707041254
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",594,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",23921,0.0023982868606143267
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",461.00000000000006,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2153,0.00021585684590538212
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",1706.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",24807,0.0024871160131791983
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",20825,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1925133,0.19301121102107105
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",4508.255205730927,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",215647,0.021620474337648833
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",4945.6212956513355,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",172198,0.0172643368096679
